,R,rho,error A,error B,error C,error D,error E,error F,runtime A,runtime B,runtime C,runtime D,runtime E,runtime F
22,1,0.23,3.2412705874045047,3.2412705874045913,3.000935846143956,0.023490272090614023,0.023490272090722044,0.011749301824270673,270.1175867769998,278.38586875300007,284.5225965329992,6367.782170881023,7714.1829815779965,8296.789131561003
23,1,0.24,3.054304240062204,3.054304240062404,2.88323695757009,0.02413833792671154,0.02413833792699366,0.013340456172808615,261.3211634049994,279.33389255600014,257.46320892099993,6366.98256890598,7664.977769117002,8406.506407305998
24,1,0.25,2.8765215827207418,2.8765215827212423,2.763601680954722,0.020287857987154316,0.020287857987447193,0.01329032965425656,258.70261684600064,283.6066656289995,261.0556260759995,6442.527002135001,7520.681146079994,8316.851776024996
25,1,0.26,2.715053484998391,2.7150534849996495,2.6507118363007534,0.01897401195516447,0.01897401195607299,0.014496770902226288,264.450355674001,275.1566802139996,277.857841379001,6418.658095651015,8092.905075372997,8295.262349859993
26,1,0.27,2.56740331450697,2.5674033145099315,2.5433824423622964,0.02024757287311246,0.020247572875532135,0.018436161550395326,254.00612905900016,275.05667980399994,270.5951344189998,6231.693486620992,8699.624423361995,8330.493496953
27,1,0.28,2.4267597707165027,2.4267597707232427,2.4359178193990134,0.018698596678426334,0.018698596683898668,0.01953067065242321,253.2902201299985,275.16238320400043,258.54726584700074,7197.90602104002,8205.998325466999,8209.191161238
28,1,0.29,2.2991924274847544,2.299192427499638,2.335341341463943,0.021060243990122293,0.021060244003067278,0.024375309405872844,256.35902910200093,269.00642702500045,261.5511633000005,6604.154955523991,8257.285966189,8171.008956192001
29,1,0.3,2.1789221820299436,2.1789221820619264,2.2366931694818857,0.022849848330786297,0.02284984836222436,0.028462097351352106,260.49717539999983,271.4706520759992,264.6385081449989,6771.902898558998,8161.348877516,8307.723353686999
30,1,0.31,2.065792092089543,2.0657920921565838,2.140523027642105,0.024058407979654906,0.024058408048521506,0.03180553650777912,261.7437342869998,269.91811504900033,262.5663441029992,7004.971745719988,7991.093150848999,8250.651328308002
31,1,0.32,1.958928066497643,1.958928066634797,2.0465686720385587,0.025052986472821254,0.025052986613850577,0.034679492311069884,252.21221012100068,271.2937882489987,279.78909102299986,6773.712579189974,7684.768647342997,8298.796859094
32,1,0.33,1.8561360812304883,1.856136081504892,1.9531676186968452,0.02438229739080728,0.024382297676063595,0.03564048880957005,253.93368557299985,267.39375270600067,273.7337604499989,7011.632246191002,7716.667168582004,8430.180837664004
33,1,0.34,1.7557115093572673,1.755711509894951,1.8590784024584543,0.02051637368732451,0.02051637421189736,0.033154316281297905,259.7963662109996,278.6227213830007,266.5149715409989,6747.24797792398,7544.355390019002,8255.936672247
34,1,0.35,1.6698068640831405,1.6698068651162083,1.776858191571584,0.02565898455522871,0.02565898561557993,0.03957981301243725,258.4818832660003,276.5900376560003,254.13826993200016,6409.049766137992,8137.6695285209935,8316.440114320001
35,1,0.36,1.5834815666638355,1.5834815686122306,1.6919207775434892,0.025754531642613633,0.025754533640919758,0.040690109055328334,261.7866636010003,282.3176967700001,262.62406101500164,6615.944741196989,8686.622236432995,8316.831799731997
36,1,0.37,1.501868763295293,1.501868766906364,1.6097102830618695,0.026653366163823612,0.026653370046989464,0.04231733809780334,287.050997728,298.676246548,297.653785544,7406.352678624999,8142.195189743,8297.859386976
37,1,0.38,1.4291531911190236,1.4291531977019754,1.5346848389859344,0.0324228295599311,0.03242283688311479,0.048658523556437176,261.419373235,263.124488126,263.55859460600004,7584.064513854,8255.767368042001,8138.434509261
38,1,0.39,1.3536053743106384,1.3536053861249524,1.4553557101748136,0.03196658912667523,0.03196660218854967,0.048482599917912275,259.701158838,259.59921982800006,264.84244194,7424.9895790380015,8174.030794670001,8253.773490119998
39,1,0.4,1.280302702477934,1.2803027233686533,1.3770125809594818,0.030561133693394957,0.0305611569387429,0.04701943043909415,264.421195172,259.2395087719999,264.6630302289999,7547.403287527999,7904.755403665,8148.135014314001
40,1,0.41,1.2093182731908703,1.2093183094564404,1.2999152542960917,0.028444254227211783,0.028444295362928695,0.04459949478423582,262.5036157490001,259.0442094470002,262.710592102,7406.420367974002,7635.268326750003,8216.729401763005
41,1,0.42,1.1428075663871975,1.1428076208090436,1.2263346439224703,0.027961245080736816,0.027961308269393692,0.043556125546521204,256.963169204,262.85591694000004,260.296434676,7302.910858055002,7678.577682069001,8400.852157608999
42,1,0.43,1.0805306668851236,1.0805307578797665,1.1562765252925733,0.029101198339581018,0.029101308733414426,0.04391292263925548,259.5518402769999,260.4674862479999,262.163863023,7206.203466828003,7614.220766988001,8236.455981891995
